id,title,date,region,category,price,url
https://www.rtpi.org.uk/events/2025/november/technicalities-of-planning/,Technicalities of Planning,05 Nov 2025,North East England,Conference,85.00,https://www.rtpi.org.uk/events/2025/november/technicalities-of-planning/
https://www.rtpi.org.uk/events/2025/november/rtpi-east-of-england-planning-law-conference-2025/,RTPI East of England Planning Law Conference 2025,07 Nov 2025,East of England,Conference,85.00,https://www.rtpi.org.uk/events/2025/november/rtpi-east-of-england-planning-law-conference-2025/
https://www.rtpi.org.uk/events/2025/november/rtpi-east-midlands-autumn-planning-law-update/,RTPI East Midlands Autumn Planning Law Update,10 Nov 2025,"East Midlands, West Midlands","Training, Updates",15,https://www.rtpi.org.uk/events/2025/november/rtpi-east-midlands-autumn-planning-law-update/
https://www.rtpi.org.uk/events/2025/november/rtpi-apc-webinar-pdp-november-2025/,RTPI APC Webinar: PDP - November 2025,11 Nov 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/november/rtpi-apc-webinar-pdp-november-2025/
https://www.rtpi.org.uk/events/2025/november/healthy-places/,Healthy Places,12 Nov 2025,North West England,Conference,85.00,https://www.rtpi.org.uk/events/2025/november/healthy-places/
https://www.rtpi.org.uk/events/2025/november/ni-planning-law-update/,NI Planning Law Update,17 Nov 2025,Northern Ireland,"Conference, Updates",30.00,https://www.rtpi.org.uk/events/2025/november/ni-planning-law-update/
https://www.rtpi.org.uk/events/2025/november/rtpi-apc-webinar-da-epa-november-2025/,RTPI APC Webinar: DA-EPA - November 2025,18 Nov 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/november/rtpi-apc-webinar-da-epa-november-2025/
https://www.rtpi.org.uk/events/2025/november/digital-planning/,Digital Planning,19 Nov 2025,"South East England, East of England, London",Conference,42.50,https://www.rtpi.org.uk/events/2025/november/digital-planning/
https://www.rtpi.org.uk/events/2025/november/south-east-members-winter-reception-in-oxford/,South East members winter reception in Oxford,19 Nov 2025,South East England,Awards and Social,Free,https://www.rtpi.org.uk/events/2025/november/south-east-members-winter-reception-in-oxford/
https://www.rtpi.org.uk/events/2025/november/design-2/,Design 2,19 Nov 2025,North West England,Conference,30.00,https://www.rtpi.org.uk/events/2025/november/design-2/
https://www.rtpi.org.uk/events/2025/november/a-digital-future-for-planning/,A Digital Future for Planning,19 Nov 2025,"Yorkshire, East Midlands",Conference,30,https://www.rtpi.org.uk/events/2025/november/a-digital-future-for-planning/
https://www.rtpi.org.uk/events/2025/november/planning-law-update-hybrid-seminar/,Planning Law Update Hybrid Seminar,20 Nov 2025,"South West England, England","Online, Conference",60,https://www.rtpi.org.uk/events/2025/november/planning-law-update-hybrid-seminar/
https://www.rtpi.org.uk/events/2025/november/wm-winter-reception/,WM winter Reception,20 Nov 2025,West Midlands,,Free,https://www.rtpi.org.uk/events/2025/november/wm-winter-reception/
https://www.rtpi.org.uk/events/2025/november/rtpi-apc-webinar-associate-november-2025/,RTPI APC Webinar: Associate - November 2025,27 Nov 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/november/rtpi-apc-webinar-associate-november-2025/
https://www.rtpi.org.uk/events/2025/november/rtpi-awards-for-planning-excellence-2025/,RTPI Awards for Planning Excellence 2025,27 Nov 2025,National,Awards and Social,155 +VAT,https://www.rtpi.org.uk/events/2025/november/rtpi-awards-for-planning-excellence-2025/
https://www.rtpi.org.uk/events/2025/november/strategic-planning-and-regeneration/,Strategic Planning and Regeneration,27 Nov 2025,North East England,Conference,85.00,https://www.rtpi.org.uk/events/2025/november/strategic-planning-and-regeneration/
https://www.rtpi.org.uk/events/2025/december/rtpi-apc-webinar-l-apc-december-2025/,RTPI APC Webinar: L-APC - December 2025,04 Dec 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/december/rtpi-apc-webinar-l-apc-december-2025/
https://www.rtpi.org.uk/events/2025/december/rtpi-apc-webinar-resubmissions-december-2025/,RTPI APC Webinar: Resubmissions - December 2025,16 Dec 2025,National,Online,Free,https://www.rtpi.org.uk/events/2025/december/rtpi-apc-webinar-resubmissions-december-2025/
